From;To;Max Flow (MW);Min Flow (MW);Data Year;Source;Note
AF-​​​​​​AGO;AF-​​​​​​COD;0;0;2015;[108];
AF-​​​​​​AGO;AF-​​​​​​COG;0;0;2015;[108];
AF-​​​​​​AGO;AF-​​​​​​NAM;0;0;2015;[108];
AF-​​​​​​AGO;AF-​​​​​​ZMB;0;0;2015;[108];
AF-​​​​​​BDI;AF-​​​​​​COD;475;-​​​​​​475;2015;[108];
AF-​​​​​​BDI;AF-​​​​​​RWA;430;-​​​​​​430;2015;[108];
AF-​​​​​​BDI;AF-​​​​​​TZA;0;0;2015;[108];
AF-​​​​​​BEN;AF-​​​​​​BFA;0;0;2015;[108];
AF-​​​​​​BEN;AF-​​​​​​GHA;936;-​​​​​​936;2015;[108];
AF-​​​​​​BEN;AF-​​​​​​NER;0;0;2015;[108];
AF-​​​​​​BEN;AF-​​​​​​NGA;686;-​​​​​​686;2015;[108];
AF-​​​​​​BEN;AF-​​​​​​TGO;0;0;2015;[108];
AF-​​​​​​BFA;AF-​​​​​​CIV;327;-​​​​​​327;2015;[108];
AF-​​​​​​BFA;AF-​​​​​​GHA;0;0;2015;[108];
AF-​​​​​​BFA;AF-​​​​​​MLI;0;0;2015;[108];
AF-​​​​​​BFA;AF-​​​​​​NER;0;0;2015;[108];
AF-​​​​​​BFA;AF-​​​​​​TGO;0;0;2015;[108];
AF-​​​​​​BWA;AF-​​​​​​NAM;0;0;2015;[108];
AF-​​​​​​BWA;AF-​​​​​​ZAF;1300;-​​​​​​1300;2015;[108];
AF-​​​​​​BWA;AF-​​​​​​ZMB;0;0;2015;[108];
AF-​​​​​​BWA;AF-​​​​​​ZWE;650;-​​​​​​650;2015;[108];
AF-​​​​​​CAF;AF-​​​​​​CMR;0;0;2015;[108];
AF-​​​​​​CAF;AF-​​​​​​COD;0;0;2015;[108];
AF-​​​​​​CAF;AF-​​​​​​COG;0;0;2015;[108];
AF-​​​​​​CAF;AF-​​​​​​SDN;0;0;2015;[108];
AF-​​​​​​CIV;AF-​​​​​​GHA;982;-​​​​​​982;2015;[108];
AF-​​​​​​CIV;AF-​​​​​​GIN;0;0;2015;[108];
AF-​​​​​​CIV;AF-​​​​​​LBR;338;-​​​​​​338;2015;[108];
AF-​​​​​​CIV;AF-​​​​​​MLI;0;0;2015;[108];
AF-​​​​​​CMR;AF-​​​​​​COG;0;0;2015;[108];
AF-​​​​​​CMR;AF-​​​​​​GAB;0;0;2015;[108];
AF-​​​​​​CMR;AF-​​​​​​GNQ;0;0;2015;[108];
AF-​​​​​​CMR;AF-​​​​​​NGA;0;0;2015;[108];
AF-​​​​​​COD;AF-​​​​​​COG;60;-​​​​​​60;2015;[108];
AF-​​​​​​COD;AF-​​​​​​RWA;527;-​​​​​​527;2015;[108];
AF-​​​​​​COD;AF-​​​​​​TZA;0;0;2015;[108];
AF-​​​​​​COD;AF-​​​​​​UGA;0;0;2015;[108];
AF-​​​​​​COD;AF-​​​​​​ZMB;310;-​​​​​​310;2015;[108];
AF-​​​​​​COG;AF-​​​​​​GAB;0;0;2015;[108];
AF-​​​​​​COG;AF-​​​​​​RWA;0;0;2015;[108];
AF-​​​​​​COG;AF-​​​​​​TZA;0;0;2015;[108];
AF-​​​​​​DJI;AF-​​​​​​ERI;0;0;2015;[108];
AF-​​​​​​DJI;AF-​​​​​​ETH;180;-​​​​​​180;2015;[108];
AF-​​​​​​DZA;AF-​​​​​​ESH;0;0;2015;[108];
AF-​​​​​​DZA;AF-​​​​​​LBY;0;0;2015;[108];
AF-​​​​​​DZA;AF-​​​​​​MAR;400;-​​​​​​400;2013;[109] ;
AF-​​​​​​DZA;AF-​​​​​​MLI;0;0;2015;[108];
AF-​​​​​​DZA;AF-​​​​​​MRT;0;0;2015;[108];
AF-​​​​​​DZA;AF-​​​​​​NER;0;0;2015;[108];
AF-​​​​​​DZA;AF-​​​​​​TUN;150;-​​​​​​150;2013;[109];
AF-​​​​​​EGY;AF-​​​​​​LBY;180;-​​​​​​180;2013;[109] ;
AF-​​​​​​EGY;AF-​​​​​​SDN;0;0;2015;[108];
AF-​​​​​​EGY;AS-​​​​​​ISR;17;0;2015;[108];
AF-​​​​​​EGY;AS-​​​​​​JOR;450;-​​​​​​200;2013;[109] ;Subsea line
AF-​​​​​​ERI;AF-​​​​​​ETH;0;0;2015;[108];
AF-​​​​​​ERI;AF-​​​​​​SDN;0;0;2015;[108];
AF-​​​​​​ESH;AF-​​​​​​MAR;0;0;2015;[108];
AF-​​​​​​ESH;AF-​​​​​​MRT;0;0;2015;[108];
AF-​​​​​​ETH;AF-​​​​​​KEN;0;0;2015;[108];
AF-​​​​​​ETH;AF-​​​​​​SDN;200;-​​​​​​200;2015;[108];
AF-​​​​​​GAB;AF-​​​​​​GNQ;0;0;2015;[108];
AF-​​​​​​GHA;AF-​​​​​​TGO;963;-​​​​​​963;2015;[108];
AF-​​​​​​GIN;AF-​​​​​​GNB;0;0;2015;[108];
AF-​​​​​​GIN;AF-​​​​​​LBR;0;0;2015;[108];
AF-​​​​​​GIN;AF-​​​​​​MLI;0;0;2015;[108];
AF-​​​​​​GIN;AF-​​​​​​SEN;0;0;2015;[108];
AF-​​​​​​GIN;AF-​​​​​​SLE;0;0;2015;[108];
AF-​​​​​​GMB;AF-​​​​​​SEN;0;0;2015;[108];
AF-​​​​​​GNB;AF-​​​​​​SEN;0;0;2015;[108];
AF-​​​​​​KEN;AF-​​​​​​TZA;0;0;2015;[108];
AF-​​​​​​KEN;AF-​​​​​​UGA;418;-​​​​​​418;2015;[108];
AF-​​​​​​LBR;AF-​​​​​​SLE;0;0;2015;[108];
AF-​​​​​​LBY;AF-​​​​​​NER;0;0;2015;[108];
AF-​​​​​​LBY;AF-​​​​​​SDN;0;0;2015;[108];
AF-​​​​​​LBY;AF-​​​​​​TUN;200;-​​​​​​200;2015;[108];
AF-​​​​​​LSO;AF-​​​​​​ZAF;230;-​​​​​​230;2015;[108];
AF-​​​​​​MLI;AF-​​​​​​MRT;0;0;2015;[108];
AF-​​​​​​MLI;AF-​​​​​​NER;0;0;2015;[108];
AF-​​​​​​MLI;AF-​​​​​​SEN;100;-​​​​​​100;2015;[108];
AF-​​​​​​MOZ;AF-​​​​​​MWI;0;0;2015;[108];
AF-​​​​​​MOZ;AF-​​​​​​SWZ;1450;-​​​​​​1450;2015;[108];
AF-​​​​​​MOZ;AF-​​​​​​TZA;0;0;2015;[108];
AF-​​​​​​MOZ;AF-​​​​​​ZAF;3850;-​​​​​​3850;2015;[108];
AF-​​​​​​MOZ;AF-​​​​​​ZMB;0;0;2015;[108];
AF-​​​​​​MOZ;AF-​​​​​​ZWE;700;-​​​​​​700;2015;[108];
AF-​​​​​​MRT;AF-​​​​​​SEN;0;0;2015;[108];
AF-​​​​​​MWI;AF-​​​​​​TZA;0;0;2015;[108];
AF-​​​​​​MWI;AF-​​​​​​ZMB;0;0;2015;[108];
AF-​​​​​​NAM;AF-​​​​​​ZAF;750;-​​​​​​750;2015;[108];
AF-​​​​​​NAM;AF-​​​​​​ZMB;200;-​​​​​​200;2015;[108];
AF-​​​​​​NER;AF-​​​​​​NGA;169;-​​​​​​169;2015;[108];
AF-​​​​​​NGA;AF-​​​​​​TGO;686;-​​​​​​686;2015;[108];
AF-​​​​​​RWA;AF-​​​​​​TZA;0;0;2015;[108];
AF-​​​​​​RWA;AF-​​​​​​UGA;250;-​​​​​​250;2015;[108];
AF-​​​​​​SWZ;AF-​​​​​​ZAF;1450;-​​​​​​1450;2015;[108];
AF-​​​​​​TZA;AF-​​​​​​UGA;59;-​​​​​​59;2015;[108];
AF-​​​​​​TZA;AF-​​​​​​ZMB;0;0;2015;[108];
AF-​​​​​​ZAF;AF-​​​​​​ZWE;600;-​​​​​​600;2015;[108];
AF-​​​​​​ZMB;AF-​​​​​​ZWE;700;-​​​​​​700;2015;[108];
AS-​​​​​​AFG;AS-​​​​​​CHN-​​​​​​XI;0;0;2015;[110];
AS-​​​​​​AFG;AS-​​​​​​IRN;56;-​​​​​​56;2006;[111];
AS-​​​​​​AFG;AS-​​​​​​PAK;0;0;2018;[112];
AS-​​​​​​AFG;AS-​​​​​​TJK;300;-​​​​​​300;2006;[111];
AS-​​​​​​AFG;AS-​​​​​​TKM;300;-​​​​​​300;2006;[111];
AS-​​​​​​AFG;AS-​​​​​​UZB;300;-​​​​​​300;2017;[113];
AS-​​​​​​ARE;AS-​​​​​​OMN;400;-​​​​​​400;2013;[109];
AS-​​​​​​ARE;AS-​​​​​​SAU;900;-​​​​​​900;2013;[109];
AS-​​​​​​BGD;AS-​​​​​​IND-​​​​​​EA;500;-​​​​​​500;2018;[114];
AS-​​​​​​BGD;AS-​​​​​​IND-​​​​​​NE;160;-​​​​​​160;2018;[114];
AS-​​​​​​BGD;AS-​​​​​​MMR;0;0;2018;[114];
AS-​​​​​​BHR;AS-​​​​​​SAU;600;-​​​​​​600;2013;[109];
AS-​​​​​​BRN;AS-​​​​​​MYS;0;0;2015;[115,116];
AS-​​​​​​BTN;AS-​​​​​​CHN-​​​​​​TI;0;0;2015;[110];
AS-​​​​​​BTN;AS-​​​​​​IND-​​​​​​EA;1980;0;2014;[117];
AS-​​​​​​CHN-​​​​​​AN;AS-​​​​​​CHN-​​​​​​HB;4000;-​​​​​​4000;2016;[69–71];
AS-​​​​​​CHN-​​​​​​AN;AS-​​​​​​CHN-​​​​​​HE;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​AN;AS-​​​​​​CHN-​​​​​​HU;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​AN;AS-​​​​​​CHN-​​​​​​JS;5000;-​​​​​​5000;2016;[69–71];
AS-​​​​​​CHN-​​​​​​AN;AS-​​​​​​CHN-​​​​​​JX;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​AN;AS-​​​​​​CHN-​​​​​​SD;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​AN;AS-​​​​​​CHN-​​​​​​ZH;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​BE;AS-​​​​​​CHN-​​​​​​EM;5000;-​​​​​​5000;2016;[69–71];
AS-​​​​​​CHN-​​​​​​BE;AS-​​​​​​CHN-​​​​​​HB;4000;-​​​​​​4000;2016;[69–71];
AS-​​​​​​CHN-​​​​​​BE;AS-​​​​​​CHN-​​​​​​TJ;5000;-​​​​​​5000;2016;[69–71];
AS-​​​​​​CHN-​​​​​​CH;AS-​​​​​​CHN-​​​​​​GU;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​CH;AS-​​​​​​CHN-​​​​​​HB;4000;-​​​​​​4000;2016;[69–71];
AS-​​​​​​CHN-​​​​​​CH;AS-​​​​​​CHN-​​​​​​HN;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​CH;AS-​​​​​​CHN-​​​​​​HU;0;0;2016;[69–71];
AS-​​​​​​CHN-​​​​​​CH;AS-​​​​​​CHN-​​​​​​SC;4000;-​​​​​​4000;2016;[69–71];
AS-​​​​​​CHN-​​​​​​CH;AS-​​​​​​CHN-​​​​​​SI;0;0;2016;[69–71];
