Node,Continent,Country,Geographical.region,lat,lon,coordinates_source
AF-AGO,Africa,Angola,Angola,-12.2922888126,17.5369791417,ILO
AF-BDI,Africa,Burundi,Burundi,-3.35694363826,29.8753249526,ILO
AF-BEN,Africa,Benin,Benin,9.64190633253,2.32921274202,ILO
AF-BFA,Africa,Burkina Faso,Burkina Faso,12.2695677876,-1.75515034,ILO
AF-BWA,Africa,Botswana,Botswana,-22.1861123248,23.7991035648,ILO
AF-CAF,Africa,Central African Republic,Central African Republic,6.56632290607,20.4648268732,ILO
AF-CIV,Africa,Cote DIvoire,Cote DIvoire,NA,NA,ILO
AF-CMR,Africa,Cameroon,Cameroon,5.69302138386,12.7370844447,ILO
AF-COD,Africa,Congo (Kinshasa),Congo (Kinshasa),NA,NA,ILO
AF-COG,Africa,Congo (Brazzaville),Congo (Brazzaville),NA,NA,ILO
AF-CPV,Africa,Cape Verde,Cape Verde,15.9374673653,-23.9647310845,ILO
AF-DJI,Africa,Djibouti,Djibouti,11.7504923494,42.5670039348,ILO
AF-DZA,Africa,Algeria,Algeria,28.1489523417,2.65318018402,ILO
AF-EGY,Africa,Egypt,Egypt,26.4931757586,29.8611742358,ILO
AF-ERI,Africa,Eritrea,Eritrea,15.3574559287,38.8534296499,ILO
AF-ESH,Africa,Western Sahara,Western Sahara,NA,NA,ILO
AF-ETH,Africa,Ethiopia,Ethiopia,8.62300299107,39.600671832,ILO
AF-GAB,Africa,Gabon,Gabon,-0.591692774419,11.7893224204,ILO
AF-GHA,Africa,Ghana,Ghana,7.95354676949,-1.21649642233,ILO
AF-GIN,Africa,Guinea,Guinea,10.4346600847,-10.9426023656,ILO
AF-GMB,Africa,Gambia,Gambia,13.4496127102,-15.3984217921,ILO
AF-GNB,Africa,Guinea-Bissau,Guinea-Bissau,12.0276495691,-14.9767869834,ILO
AF-GNQ,Africa,Equatorial Guinea,Equatorial Guinea,1.7072413441,10.333378379,ILO
AF-KEN,Africa,Kenya,Kenya,0.550735388524,37.8221204959,ILO
AF-LBR,Africa,Liberia,Liberia,6.45238198683,-9.31988198206,ILO
AF-LBY,Africa,Libya,Libya,NA,NA,ILO
AF-LSO,Africa,Lesotho,Lesotho,-29.5798587816,28.2284419379,ILO
AF-MAR,Africa,Morocco,Morocco,29.8417475558,-8.39640701846,ILO
AF-MDG,Africa,Madagascar,Madagascar,-19.3736785722,46.7058236619,ILO
AF-MLI,Africa,Mali,Mali,17.3446450476,-3.5394321557,ILO
AF-MOZ,Africa,Mozambique,Mozambique,-17.2694407361,35.5381045309,ILO
AF-MRT,Africa,Mauritania,Mauritania,20.256790923,-10.3435353439,ILO
AF-MUS,Africa,Mauritius,Mauritius,-20.1858075358,57.8502553676,ILO
AF-MWI,Africa,Malawi,Malawi,-13.2171368017,34.2899685082,ILO
AF-NAM,Africa,Namibia,Namibia,-22.1284335852,17.211333564,ILO
AF-NER,Africa,Niger,Niger,17.4187581641,9.3857412628,ILO
AF-NGA,Africa,Nigeria,Nigeria,9.59507580848,8.09141781395,ILO
AF-RWA,Africa,Rwanda,Rwanda,-1.99277319942,29.9188561928,ILO
AF-SDN,Africa,Sudan,Sudan,NA,NA,ILO
AF-SEN,Africa,Senegal,Senegal,14.3678611322,-14.4712861299,ILO
AF-SLE,Africa,Sierra Leone,Sierra Leone,8.56342159427,-11.7947178851,ILO
AF-SWZ,Africa,Swaziland,Swaziland,-26.5616993839,31.4801350162,ILO
AF-TGO,Africa,Togo,Togo,8.52650737986,0.962524955848,ILO
AF-TUN,Africa,Tunisia,Tunisia,34.1194945806,9.55488510583,ILO
AF-TZA,Africa,Tanzania,Tanzania,NA,NA,ILO
AF-UGA,Africa,Uganda,Uganda,1.27575775615,32.3669969147,ILO
AF-ZAF,Africa,South Africa,South Africa,-29.001024687,25.087310262,ILO
AF-ZMB,Africa,Zambia,Zambia,-13.4601310731,27.7743026217,ILO
AF-ZWE,Africa,Zimbabwe,Zimbabwe,-19.0027606418,29.8516462113,ILO
AS-AFG,Asia,Afghanistan,Afghanistan,33.8364489128,66.0087623043,ILO
AS-ARE,Asia,United Arab Emirates,United Arab Emirates,23.9082234509,54.3037299326,ILO
AS-BGD,Asia,Bangladesh,Bangladesh,23.8455777203,90.2419424062,ILO
AS-BHR,Asia,Bahrain,Bahrain,26.0514166973,50.5459565371,ILO
AS-BRN,Asia,Brunei,Brunei,NA,NA,ILO
AS-BTN,Asia,Bhutan,Bhutan,27.4216088934,90.4047032909,ILO
AS-CHN-AN,Asia,China,Anhui,36.5602062669,103.831751251,ILO
AS-CHN-BE,Asia,China,Beijing,36.5602062669,103.831751251,ILO
