Node;Continent;Country;Geographical region;node_source;lat;lon;coordinates_source
AF-AGO;Africa;Angola;Angola;Brinkerink & Deane 2015;-12.2922888126;17.53697914;ILO
AF-BDI;Africa;Burundi;Burundi;Brinkerink & Deane 2015;-3.356943638;29.87532495;ILO
AF-BEN;Africa;Benin;Benin;Brinkerink & Deane 2015;9.64190633253;2.32921274202;ILO
AF-BFA;Africa;Burkina Faso;Burkina Faso;Brinkerink & Deane 2015;12.2695677876;-1.75515034;ILO
AF-BWA;Africa;Botswana;Botswana;Brinkerink & Deane 2015;-22.1861123248;23.7991035648;ILO
AF-CAF;Africa;Central African Republic;Central African Republic;Brinkerink & Deane 2015;6.56632290607;20.4648268732;ILO
AF-CIV;Africa;Cote DIvoire;Cote DIvoire;Brinkerink & Deane 2015;7.628137726;-5.569007798;ILO
AF-CMR;Africa;Cameroon;Cameroon;Brinkerink & Deane 2015;5.69302138386;12.7370844447;ILO
AF-COD;Africa;Congo (Kinshasa);Congo (Kinshasa);Brinkerink & Deane 2015;-2.879830512;23.64509368;ILO
AF-COG;Africa;Congo (Brazzaville);Congo (Brazzaville);Brinkerink & Deane 2015;-0.838897144;15.21808786;ILO
AF-CPV;Africa;Cape Verde;Cape Verde;Brinkerink & Deane 2015;15.9374673653;-23.9647310845;ILO
AF-DJI;Africa;Djibouti;Djibouti;Brinkerink & Deane 2015;11.7504923494;42.5670039348;ILO
AF-DZA;Africa;Algeria;Algeria;Brinkerink & Deane 2015;28.1489523417;2.65318018402;ILO
AF-EGY;Africa;Egypt;Egypt;Brinkerink & Deane 2015;26.4931757586;29.8611742358;ILO
AF-ERI;Africa;Eritrea;Eritrea;Brinkerink & Deane 2015;15.3574559287;38.8534296499;ILO
AF-ESH;Africa;Western Sahara;Western Sahara;Brinkerink & Deane 2015;24.16819605;-13.89214303;OSM (Nominatim)
AF-ETH;Africa;Ethiopia;Ethiopia;Brinkerink & Deane 2015;8.62300299107;39.600671832;ILO
AF-GAB;Africa;Gabon;Gabon;Brinkerink & Deane 2015;-0.591692774419;11.7893224204;ILO
AF-GHA;Africa;Ghana;Ghana;Brinkerink & Deane 2015;7.95354676949;-1.21649642233;ILO
AF-GIN;Africa;Guinea;Guinea;Brinkerink & Deane 2015;10.4346600847;-10.9426023656;ILO
AF-GMB;Africa;Gambia;Gambia;Brinkerink & Deane 2015;13.4496127102;-15.3984217921;ILO
AF-GNB;Africa;Guinea-Bissau;Guinea-Bissau;Brinkerink & Deane 2015;12.0276495691;-14.9767869834;ILO
AF-GNQ;Africa;Equatorial Guinea;Equatorial Guinea;Brinkerink & Deane 2015;1.7072413441;10.333378379;ILO
AF-KEN;Africa;Kenya;Kenya;Brinkerink & Deane 2015;0.550735388524;37.8221204959;ILO
AF-LBR;Africa;Liberia;Liberia;Brinkerink & Deane 2015;6.45238198683;-9.31988198206;ILO
AF-LBY;Africa;Libya;Libya;Brinkerink & Deane 2015;27.03036852;18.00959501;ILO
AF-LSO;Africa;Lesotho;Lesotho;Brinkerink & Deane 2015;-29.5798587816;28.2284419379;ILO
AF-MAR;Africa;Morocco;Morocco;Brinkerink & Deane 2015;29.8417475558;-8.39640701846;ILO
AF-MDG;Africa;Madagascar;Madagascar;Brinkerink & Deane 2015;-19.3736785722;46.7058236619;ILO
AF-MLI;Africa;Mali;Mali;Brinkerink & Deane 2015;17.3446450476;-3.5394321557;ILO
AF-MOZ;Africa;Mozambique;Mozambique;Brinkerink & Deane 2015;-17.2694407361;35.5381045309;ILO
AF-MRT;Africa;Mauritania;Mauritania;Brinkerink & Deane 2015;20.256790923;-10.3435353439;ILO
AF-MUS;Africa;Mauritius;Mauritius;Brinkerink & Deane 2015;-20.1858075358;57.8502553676;ILO
AF-MWI;Africa;Malawi;Malawi;Brinkerink & Deane 2015;-13.2171368017;34.2899685082;ILO
AF-NAM;Africa;Namibia;Namibia;Brinkerink & Deane 2015;-22.1284335852;17.211333564;ILO
AF-NER;Africa;Niger;Niger;Brinkerink & Deane 2015;17.4187581641;9.3857412628;ILO
AF-NGA;Africa;Nigeria;Nigeria;Brinkerink & Deane 2015;9.59507580848;8.09141781395;ILO
AF-RWA;Africa;Rwanda;Rwanda;Brinkerink & Deane 2015;-1.99277319942;29.9188561928;ILO
AF-SDN;Africa;Sudan;Sudan;Brinkerink & Deane 2015;15.98681534;29.93976562;ILO
AF-SEN;Africa;Senegal;Senegal;Brinkerink & Deane 2015;14.3678611322;-14.4712861299;ILO
AF-SLE;Africa;Sierra Leone;Sierra Leone;Brinkerink & Deane 2015;8.56342159427;-11.7947178851;ILO
AF-SOM;Africa;Somalia;Somalia;ILO;4.74860896352;45.7059511133;ILO
AF-SWZ;Africa;Swaziland;Swaziland;Brinkerink & Deane 2015;-26.5616993839;31.4801350162;ILO
AF-TCD;Africa;Chad;Chad;ILO;15.332983539;18.6461890475;ILO
AF-TGO;Africa;Togo;Togo;Brinkerink & Deane 2015;8.52650737986;0.962524955848;ILO
AF-TUN;Africa;Tunisia;Tunisia;Brinkerink & Deane 2015;34.1194945806;9.55488510583;ILO
AF-TZA;Africa;Tanzania;Tanzania;Brinkerink & Deane 2015;-6.27504483;34.81346762;ILO
AF-UGA;Africa;Uganda;Uganda;Brinkerink & Deane 2015;1.27575775615;32.3669969147;ILO
AF-ZAF;Africa;South Africa;South Africa;Brinkerink & Deane 2015;-29.001024687;25.087310262;ILO
AF-ZMB;Africa;Zambia;Zambia;Brinkerink & Deane 2015;-13.4601310731;27.7743026217;ILO
