Node;Continent;Country;Geographical region
AF-​​​​​​AGO;Africa;Angola;Angola
AF-​​​​​​BDI;Africa;Burundi;Burundi
AF-​​​​​​BEN;Africa;Benin;Benin
AF-​​​​​​BFA;Africa;Burkina Faso;Burkina Faso
AF-​​​​​​BWA;Africa;Botswana;Botswana
AF-​​​​​​CAF;Africa;Central African Republic;Central African Republic
AF-​​​​​​CIV;Africa;Cote DIvoire;Cote DIvoire
AF-​​​​​​CMR;Africa;Cameroon;Cameroon
AF-​​​​​​COD;Africa;Congo (Kinshasa);Congo (Kinshasa)
AF-​​​​​​COG;Africa;Congo (Brazzaville);Congo (Brazzaville)
AF-​​​​​​CPV;Africa;Cape Verde;Cape Verde
AF-​​​​​​DJI;Africa;Djibouti;Djibouti
AF-​​​​​​DZA;Africa;Algeria;Algeria
AF-​​​​​​EGY;Africa;Egypt;Egypt
AF-​​​​​​ERI;Africa;Eritrea;Eritrea
AF-​​​​​​ESH;Africa;Western Sahara;Western Sahara
AF-​​​​​​ETH;Africa;Ethiopia;Ethiopia
AF-​​​​​​GAB;Africa;Gabon;Gabon
AF-​​​​​​GHA;Africa;Ghana;Ghana
AF-​​​​​​GIN;Africa;Guinea;Guinea
AF-​​​​​​GMB;Africa;Gambia;Gambia
AF-​​​​​​GNB;Africa;Guinea-​​​​​​Bissau;Guinea-​​​​​​Bissau
AF-​​​​​​GNQ;Africa;Equatorial Guinea;Equatorial Guinea
AF-​​​​​​KEN;Africa;Kenya;Kenya
AF-​​​​​​LBR;Africa;Liberia;Liberia
AF-​​​​​​LBY;Africa;Libya;Libya
AF-​​​​​​LSO;Africa;Lesotho;Lesotho
AF-​​​​​​MAR;Africa;Morocco;Morocco
AF-​​​​​​MDG;Africa;Madagascar;Madagascar
AF-​​​​​​MLI;Africa;Mali;Mali
AF-​​​​​​MOZ;Africa;Mozambique;Mozambique
AF-​​​​​​MRT;Africa;Mauritania;Mauritania
AF-​​​​​​MUS;Africa;Mauritius;Mauritius
AF-​​​​​​MWI;Africa;Malawi;Malawi
AF-​​​​​​NAM;Africa;Namibia;Namibia
AF-​​​​​​NER;Africa;Niger;Niger
AF-​​​​​​NGA;Africa;Nigeria;Nigeria
AF-​​​​​​RWA;Africa;Rwanda;Rwanda
AF-​​​​​​SDN;Africa;Sudan;Sudan
AF-​​​​​​SEN;Africa;Senegal;Senegal
AF-​​​​​​SLE;Africa;Sierra Leone;Sierra Leone
AF-​​​​​​SWZ;Africa;Swaziland;Swaziland
AF-​​​​​​TGO;Africa;Togo;Togo
AF-​​​​​​TUN;Africa;Tunisia;Tunisia
AF-​​​​​​TZA;Africa;Tanzania;Tanzania
AF-​​​​​​UGA;Africa;Uganda;Uganda
AF-​​​​​​ZAF;Africa;South Africa;South Africa
AF-​​​​​​ZMB;Africa;Zambia;Zambia
AF-​​​​​​ZWE;Africa;Zimbabwe;Zimbabwe
AS-​​​​​​AFG;Asia;Afghanistan;Afghanistan
AS-​​​​​​ARE;Asia;United Arab Emirates;United Arab Emirates
AS-​​​​​​BGD;Asia;Bangladesh;Bangladesh
AS-​​​​​​BHR;Asia;Bahrain;Bahrain
AS-​​​​​​BRN;Asia;Brunei;Brunei
AS-​​​​​​BTN;Asia;Bhutan;Bhutan
AS-​​​​​​CHN-​​​​​​AN;Asia;China;Anhui
AS-​​​​​​CHN-​​​​​​BE;Asia;China;Beijing
AS-​​​​​​CHN-​​​​​​CH;Asia;China;Chongqing
AS-​​​​​​CHN-​​​​​​EM;Asia;China;Inner Mongolia (East)
AS-​​​​​​CHN-​​​​​​FU;Asia;China;Fujian
AS-​​​​​​CHN-​​​​​​GA;Asia;China;Gansu
AS-​​​​​​CHN-​​​​​​GD;Asia;China;Guangdong
AS-​​​​​​CHN-​​​​​​GU;Asia;China;Guizhou
AS-​​​​​​CHN-​​​​​​GX;Asia;China;Guangxi
AS-​​​​​​CHN-​​​​​​HA;Asia;China;Hainan
AS-​​​​​​CHN-​​​​​​HB;Asia;China;Hebei
AS-​​​​​​CHN-​​​​​​HE;Asia;China;Henan
AS-​​​​​​CHN-​​​​​​HJ;Asia;China;Heilongjiang
AS-​​​​​​CHN-​​​​​​HK;Asia;China;Hong Kong
AS-​​​​​​CHN-​​​​​​HN;Asia;China;Hunan
AS-​​​​​​CHN-​​​​​​HU;Asia;China;Hubei
AS-​​​​​​CHN-​​​​​​JI;Asia;China;Jilin
AS-​​​​​​CHN-​​​​​​JS;Asia;China;Jiangsu
AS-​​​​​​CHN-​​​​​​JX;Asia;China;Jiangxi
AS-​​​​​​CHN-​​​​​​LI;Asia;China;Liaoning
AS-​​​​​​CHN-​​​​​​MA;Asia;China;Macau
AS-​​​​​​CHN-​​​​​​NI;Asia;China;Ningxia
AS-​​​​​​CHN-​​​​​​QI;Asia;China;Qinghai
AS-​​​​​​CHN-​​​​​​SC;Asia;China;Sichuan
AS-​​​​​​CHN-​​​​​​SD;Asia;China;Shandong
AS-​​​​​​CHN-​​​​​​SH;Asia;China;Shanghai
AS-​​​​​​CHN-​​​​​​SI;Asia;China;Shaanxi
AS-​​​​​​CHN-​​​​​​SX;Asia;China;Shanxi
AS-​​​​​​CHN-​​​​​​TI;Asia;China;Tibet
AS-​​​​​​CHN-​​​​​​TJ;Asia;China;Tianjin
AS-​​​​​​CHN-​​​​​​WM;Asia;China;Inner Mongolia (West)
AS-​​​​​​CHN-​​​​​​XI;Asia;China;Xinjiang
AS-​​​​​​CHN-​​​​​​YU;Asia;China;Yunnan
AS-​​​​​​CHN-​​​​​​ZH;Asia;China;Zhejiang
AS-​​​​​​IDN;Asia;Indonesia;Indonesia
AS-​​​​​​IND-​​​​​​EA;Asia;India;Eastern Region
AS-​​​​​​IND-​​​​​​NE;Asia;India;North-​​​​​​Eastern Region
AS-​​​​​​IND-​​​​​​NO;Asia;India;Northern Region
AS-​​​​​​IND-​​​​​​SO;Asia;India;Southern Region
AS-​​​​​​IND-​​​​​​WE;Asia;India;Western Region
AS-​​​​​​IRN;Asia;Iran;Iran
AS-​​​​​​IRQ;Asia;Iraq;Iraq
