ERROR [2024-08-08 15:00:49] [WARN] - Could not create node EU-DEU - skipping and continuing...
ERROR [2024-08-08 15:00:50] [WARN] - Could not add load data to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:50] [WARN] - Skipped adding wind data for EU-DEU (no generators found in PLEXOS).
ERROR [2024-08-08 15:00:50] [WARN] - Skipped adding solar data for EU-DEU (no generators found in PLEXOS).
ERROR [2024-08-08 15:00:53] [HYDRO] - Couldn't initialize EU-DEU hydro parameters, skipping...
ERROR [2024-08-08 15:00:53] [HYDRO] - Couldn't add EU-DEU max power timeseries, skipping...
ERROR [2024-08-08 15:00:53] [HYDRO] - Couldn't add EU-DEU hydro profiles, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOENERGIEPARK10946 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOHKWHERBREC10945 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOHKWI10947 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSEHEIZKR10970 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSEHEIZKRA10972 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSEKRAFTWE10974 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSEVERSTR10971 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10948 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10953 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10954 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10955 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10956 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10957 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10959 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:58] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10960 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10961 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10962 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10963 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10964 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10965 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10966 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10967 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10968 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BIOMASSGENERAT10969 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BKF10913 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BLOCKHEIZKRAFTW10981 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BMHKWBINDERHOL10914 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BMHKWRERECKLI10915 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BMKLNEN10916 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BMKWBERGKAMEN10917 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BMKWFLRSHEIM10918 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BMKWKNIGSWU10919 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_BMKWMANNHEIM10920 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_CAPACITY SCALER generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_EGGERKRAFTWERK11072 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_EMDENBIOMASSE11085 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_ENERGIEANLAGE311089 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_ENERTRAGNETZG11063 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_HEIZKRAFTWERKP11275 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_HHKWBERLINNEU11189 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_HKWALTENSTADT11194 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_KWKGTERSLOH11354 generator to EU-DEU node, skipping...
ERROR [2024-08-08 15:00:59] [WARN] - Failed to add DEU_BIO_KWKNEUMARKT11355 generator to EU-DEU node, skipping...
