ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_NAMIBE59 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_LOBITO54 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_CAZENGA52 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_CAPACITY SCALER generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_MALONGO57 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_XITOTO61 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_HUAMBO53 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_LUANDAREFINERY56 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_BIOPIO48 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_LUANDADIESEL55 generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_CAPACITY SCALER generator to AF-AGO node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BEN_GAS_AKPAKPA994 generator to AF-BEN node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BEN_GAS_CAPACITY SCALER generator to AF-BEN node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BEN_OIL_COTONOU995 generator to AF-BEN node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_BOBO3411 generator to AF-BFA node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_OUAGA3414 generator to AF-BFA node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_KOSSODO3413 generator to AF-BFA node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_CAPACITY SCALER generator to AF-BFA node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BWA_COA_SUAPANSODAAS1045 generator to AF-BWA node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add BWA_COA_MORPULE1044 generator to AF-BWA node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CAF_OIL_BANGUIENERCA4596 generator to AF-CAF node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_CENTRALEVRIDI7954 generator to AF-CIV node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_VRIDICIPRELOC7957 generator to AF-CIV node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_AZITOOCGTPOWE7952 generator to AF-CIV node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_CAPACITY SCALER generator to AF-CIV node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CMR_GAS_KRIBI3435 generator to AF-CMR node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CMR_GAS_CAPACITY SCALER generator to AF-CMR node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_BAFOUSSAM3431_LIMBE3437 generator to AF-CMR node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_DOUALABASSA3432 generator to AF-CMR node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_GAROUA3434 generator to AF-CMR node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_CAPACITY SCALER generator to AF-CMR node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add COD_GAS_DJENOTOTAL8454 generator to AF-COD node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add COD_OIL_POINTENOIRE8464 generator to AF-COD node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add COG_GAS_DJENOENI7916 generator to AF-COG node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add COG_GAS_POINTENOIRESN7922 generator to AF-COG node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add COG_OIL_MPILA7921 generator to AF-COG node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add COG_OIL_LOANGO7919 generator to AF-COG node, skipping...
ERROR [2024-08-19 14:54:44] [WARN] - Failed to add CPV_OIL_PRAIA4595 generator to AF-CPV node, skipping...
ERROR [2024-08-19 14:54:45] [WARN] - Failed to add CPV_OIL_PALMEIRAELECTR4594 generator to AF-CPV node, skipping...
