INFO [2024-08-19 14:54:23] [MAIN] - Creating Deane_EU_Agg_new__2024_08_19_14_54_23 study...

INFO [2024-08-19 14:54:23] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-08-19 14:54:24] [MAIN] - Adding nodes...

INFO [2024-08-19 14:54:26] [NODES] - Adding EU-DEU node...
INFO [2024-08-19 14:54:26] [MAIN] - Done adding nodes! (run time : 2.28s).

INFO [2024-08-19 14:54:26] [MAIN] - Adding load data...

INFO [2024-08-19 14:54:28] [LOAD] - Adding EU-DEU load data...
INFO [2024-08-19 14:54:28] [MAIN] - Done adding load data! (run time : 2.01s).

INFO [2024-08-19 14:54:28] [MAIN] - Fetching wind data...

INFO [2024-08-19 14:54:28] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-08-19 14:54:28] [MAIN] - Done adding wind data! (run time : 0.14s).

INFO [2024-08-19 14:54:28] [MAIN] - Fetching solar data...

INFO [2024-08-19 14:54:28] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-08-19 14:54:28] [MAIN] - Done adding solar data! (run time : 0.12s).

INFO [2024-08-19 14:54:29] [MAIN] - Beginning hydro implementation...
INFO [2024-08-19 14:54:30] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-08-19 14:54:30] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-08-19 14:54:31] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-08-19 14:54:31] [MAIN] - Done adding hydro!
INFO [2024-08-19 14:54:31] [MAIN] - Fetching thermal data...
INFO [2024-08-19 14:54:34] [MAIN] - Aggregating identical generators...
INFO [2024-08-19 14:54:35] [MAIN] - Running 25-clustering algorithm on generators...

INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_NAMIBE59 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_LOBITO54 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_CAZENGA52 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_GAS_CAPACITY SCALER generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_MALONGO57 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_XITOTO61 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_HUAMBO53 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_LUANDAREFINERY56 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_BIOPIO48 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_LUANDADIESEL55 generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add AGO_OIL_CAPACITY SCALER generator to AF-AGO node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BEN_GAS_AKPAKPA994 generator to AF-BEN node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BEN_GAS_CAPACITY SCALER generator to AF-BEN node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BEN_OIL_COTONOU995 generator to AF-BEN node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_BOBO3411 generator to AF-BFA node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_OUAGA3414 generator to AF-BFA node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_KOSSODO3413 generator to AF-BFA node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BFA_OIL_CAPACITY SCALER generator to AF-BFA node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BWA_COA_SUAPANSODAAS1045 generator to AF-BWA node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add BWA_COA_MORPULE1044 generator to AF-BWA node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CAF_OIL_BANGUIENERCA4596 generator to AF-CAF node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_CENTRALEVRIDI7954 generator to AF-CIV node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_VRIDICIPRELOC7957 generator to AF-CIV node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_AZITOOCGTPOWE7952 generator to AF-CIV node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CIV_GAS_CAPACITY SCALER generator to AF-CIV node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CMR_GAS_KRIBI3435 generator to AF-CMR node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CMR_GAS_CAPACITY SCALER generator to AF-CMR node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_BAFOUSSAM3431_LIMBE3437 generator to AF-CMR node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_DOUALABASSA3432 generator to AF-CMR node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_GAROUA3434 generator to AF-CMR node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add CMR_OIL_CAPACITY SCALER generator to AF-CMR node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add COD_GAS_DJENOTOTAL8454 generator to AF-COD node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add COD_OIL_POINTENOIRE8464 generator to AF-COD node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add COG_GAS_DJENOENI7916 generator to AF-COG node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add COG_GAS_POINTENOIRESN7922 generator to AF-COG node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add COG_OIL_MPILA7921 generator to AF-COG node, skipping...
INFO [2024-08-19 14:54:44] [WARN] - Failed to add COG_OIL_LOANGO7919 generator to AF-COG node, skipping...
INFO [2024-08-19 14:54:45] [WARN] - Failed to add CPV_OIL_PRAIA4595 generator to AF-CPV node, skipping...
