INFO [2024-08-19 19:17:48] [MAIN] - Creating Deane_DEU_Agg_new__2024_08_19_19_17_48 study...

INFO [2024-08-19 19:17:48] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-08-19 19:17:48] [MAIN] - Adding nodes...

INFO [2024-08-19 19:17:49] [NODES] - Adding EU-DEU node...
INFO [2024-08-19 19:17:49] [MAIN] - Done adding nodes! (run time : 1.39s).

INFO [2024-08-19 19:17:49] [MAIN] - Adding load data...

INFO [2024-08-19 19:17:50] [LOAD] - Adding EU-DEU load data...
INFO [2024-08-19 19:17:50] [MAIN] - Done adding load data! (run time : 0.93s).

INFO [2024-08-19 19:17:50] [MAIN] - Fetching wind data...

INFO [2024-08-19 19:17:50] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-08-19 19:17:50] [MAIN] - Done adding wind data! (run time : 0.08s).

INFO [2024-08-19 19:17:50] [MAIN] - Fetching solar data...

INFO [2024-08-19 19:17:51] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-08-19 19:17:51] [MAIN] - Done adding solar data! (run time : 0.11s).

INFO [2024-08-19 19:17:51] [MAIN] - Beginning hydro implementation...
INFO [2024-08-19 19:17:52] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-08-19 19:17:52] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-08-19 19:17:52] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-08-19 19:17:52] [MAIN] - Done adding hydro!
INFO [2024-08-19 19:17:59] [MAIN] - Fetching thermal data...
INFO [2024-08-19 19:18:01] [MAIN] - Aggregating identical generators...
INFO [2024-08-19 19:18:01] [MAIN] - Running 15-clustering algorithm on generators...
INFO [2024-08-19 19:18:01] [MAIN] - Done running 15-clustering algorithm on generators!

INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_RAGANTHRAZITI11596_EVCGLOBALFOU11064_KRAFT generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_EMSLAND11088_CAPACITY SCALER_DUISBURGHAMBO generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_GERSTEINWERK11141_GEMEINSCHAFTSKR11138_RHE generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_KESSEL211371_ERWEITERUNGENE11099_BHKWANKLI generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_KRAFTWERKMITTE11405_HKWHALLETROTH11208_HKW generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_GUDHKWNEUBRAN11179_GUDBAUNATALV11170_SDDT1 generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_HUCKINGEN11302_KNAPSACKNATURA11383_DUISBUR generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_FRANKEN111114_HKWIIIB11212_TRIANELNATURAL1 generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_KIRCHMSER11375_HEIZKRAFTWERKL11273_DOWSTAD generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_GTKWDARMSTADT11128_HEIZKRAFTWERKK11271_HEI generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_INDUSTRIEPARKW11335_EMDENNATURALG11086_KOM generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_LICHTERFELDE11438_KRAFTWERKMAINZ11403_NATU generator to EU-DEU node...
INFO [2024-08-19 19:18:01] [THERMAL] - Adding DEU_GAS_FSKARTON11105_HKWGTTINGEN11207_NATURALGAST generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_GAS_KWKIRCHLENGERN11345_HKWNIEHL211221 generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_GAS_GUDSCHWARZHEID11175_HEIZKRAFTWERKE11283_HK generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERKF11266_DESSAUPOWERST11037_GRU generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_KESSEL411372_KRAFTWERK11391_HKWKARCHERSTR_ generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_HUERTHVILLE11303_HKWOFFENBACHP11295_CHEMNI generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_GKHHANNOVERPO11123_KWVOERDE11348_JANSCHWAL generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_KRAFTWERKWERDO11414_STUTTGARTMUENS11720_KI generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_LNENPOWERST11449_BERGKAMENPOWER10936_KRAFT generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_KRAFTWERKN23011406_WACHTBERGPOWER11777_HAS generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_HKWNORD11222 generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_WUPPERTALELBER11838_DEUBENPOWERST11040_BER generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERK311260_KWWEST11350_HAFENPOWER generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERKS11279_HEIZKRAFTWERKD11281_PL generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_WAEHLITZPOWER11778_FKK11104 generator to EU-DEU node...
INFO [2024-08-19 19:18:02] [THERMAL] - Adding DEU_COA_TIEFSTACKPOWER11739_FLENSBURGPOWER11111_KR generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_COA_BUERPOWERSTAT11001_COTTBUSCHPPOW11019_COLO generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_COA_HKWERLANGENC11203_COALPLANT111015_COALPLAN generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_BIO_BIOMASSGENERAT10955_MHKW11451_HKWMANNHEIM1 generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_WAS_MHKWFRANKFURT11454_STORAENSOMAXA11716 generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_BIO_BIOMASSGENERAT10953_FHKWLUDWIGSHAF11103_KR generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_BIO_BMKWKNIGSWU10919_HHKWBERLINNEU11189_WERKSK generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_BIO_BLOCKHEIZKRAFTW10981 generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_BIO_BIOMASSEHEIZKR10970_BIOMASSGENERAT10954_BI generator to EU-DEU node...
INFO [2024-08-19 19:18:03] [THERMAL] - Adding DEU_WAS_EBKWKNAPSACK11055_KWHAFEN11344_MKVAKREFELD generator to EU-DEU node...
INFO [2024-08-19 19:18:04] [THERMAL] - Adding DEU_WAS_BIOMASSGENERAT10951_MHKWWKW11452 generator to EU-DEU node...
INFO [2024-08-19 19:18:04] [THERMAL] - Adding DEU_WAS_ZWSF11844 generator to EU-DEU node...
INFO [2024-08-19 19:18:04] [THERMAL] - Adding DEU_BIO_BMHKWBINDERHOL10914_EVE11065_MHKWPIRMASENS generator to EU-DEU node...
INFO [2024-08-19 19:18:04] [THERMAL] - Adding DEU_BIO_BIOMASSGENERAT10961_DT11026_MLLKRAFTWERK11 generator to EU-DEU node...
INFO [2024-08-19 19:18:04] [THERMAL] - Adding DEU_BIO_ZELLSTOFFSTEND11847_ZOLLINGPOWERS11851_CAP generator to EU-DEU node...
