INFO [2024-09-03 13:53:52] [MAIN] - Creating Deane_Outage__2024_09_03_13_53_52 study...

INFO [2024-09-03 13:53:52] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-03 13:53:53] [MAIN] - Adding nodes...

INFO [2024-09-03 13:53:55] [NODES] - Adding EU-CHE node...
INFO [2024-09-03 13:53:56] [NODES] - Adding EU-DEU node...
INFO [2024-09-03 13:53:56] [NODES] - Adding EU-FRA node...
INFO [2024-09-03 13:53:56] [MAIN] - Done adding nodes! (run time : 3.4s).

INFO [2024-09-03 13:53:56] [MAIN] - Adding districts...

INFO [2024-09-03 13:53:57] [DISTRICTS] - Creating global district...
INFO [2024-09-03 13:53:57] [DISTRICTS] - Done creating global district!
INFO [2024-09-03 13:53:57] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-03 13:53:57] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-03 13:53:57] [MAIN] - Done adding districts! (run time : 1.42s).

INFO [2024-09-03 13:53:57] [MAIN] - Adding load data...

INFO [2024-09-03 13:53:59] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-03 13:54:00] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-03 13:54:00] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-03 13:54:00] [MAIN] - Done adding load data! (run time : 2.28s).

INFO [2024-09-03 13:54:00] [MAIN] - Fetching wind data...

INFO [2024-09-03 13:54:00] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-03 13:54:00] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-03 13:54:00] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-03 13:54:00] [MAIN] - Done adding wind data! (run time : 0.37s).

INFO [2024-09-03 13:54:00] [MAIN] - Fetching solar data...

INFO [2024-09-03 13:54:01] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-03 13:54:01] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-03 13:54:01] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-03 13:54:01] [MAIN] - Done adding solar data! (run time : 0.52s).

INFO [2024-09-03 13:54:01] [MAIN] - Beginning hydro implementation...
INFO [2024-09-03 13:54:02] [HYDRO] - Initializing EU-CHE hydro parameters...
INFO [2024-09-03 13:54:03] [HYDRO] - Adding EU-CHE max power timeseries...
INFO [2024-09-03 13:54:04] [HYDRO] - Adding EU-CHE hydro profiles...
INFO [2024-09-03 13:54:05] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-09-03 13:54:06] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-09-03 13:54:07] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-09-03 13:54:08] [HYDRO] - Initializing EU-FRA hydro parameters...
INFO [2024-09-03 13:54:09] [HYDRO] - Adding EU-FRA max power timeseries...
INFO [2024-09-03 13:54:10] [HYDRO] - Adding EU-FRA hydro profiles...
INFO [2024-09-03 13:54:10] [MAIN] - Done adding hydro!
INFO [2024-09-03 13:54:10] [MAIN] - Fetching thermal data...
INFO [2024-09-03 13:54:13] [MAIN] - Aggregating identical generators...
INFO [2024-09-03 13:54:13] [MAIN] - Running 15-clustering algorithm on generators...
INFO [2024-09-03 13:54:14] [MAIN] - Done running 15-clustering algorithm on generators!

INFO [2024-09-03 13:54:14] [THERMAL] - Adding CHE_GAS_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:54:14] [THERMAL] - Adding CHE_COA_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:54:14] [THERMAL] - Adding CHE_BIO_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:54:14] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKB17760 generator to EU-CHE node...
INFO [2024-09-03 13:54:15] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKM17763 generator to EU-CHE node...
INFO [2024-09-03 13:54:15] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKL17762 generator to EU-CHE node...
INFO [2024-09-03 13:54:15] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKG17761 generator to EU-CHE node...
INFO [2024-09-03 13:54:15] [THERMAL] - Adding CHE_OIL_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 13:54:15] [THERMAL] - Adding DEU_GAS_KIRCHMSER11375_HEIZKRAFTWERKL11273_DOWSTADE11047_DAM generator to EU-DEU node...
INFO [2024-09-03 13:54:15] [THERMAL] - Adding DEU_GAS_FRANKEN111114_HKWIIIB11212_TRIANELNATURAL11743_DORMA generator to EU-DEU node...
INFO [2024-09-03 13:54:15] [THERMAL] - Adding DEU_GAS_GEMEINSCHAFTSKR11138_RHEINHAFENDAMP11618_EMSLAND1108 generator to EU-DEU node...
INFO [2024-09-03 13:54:16] [THERMAL] - Adding DEU_GAS_HEIZKRAFTWERK411261_HEIZKRAFTWERKZ11282_KWKANLAGEBAR generator to EU-DEU node...
INFO [2024-09-03 13:54:16] [THERMAL] - Adding DEU_GAS_GTKWDARMSTADT11128_HEIZKRAFTWERKK11271_HEIZKRAFTWERK generator to EU-DEU node...
INFO [2024-09-03 13:54:16] [THERMAL] - Adding DEU_GAS_BHKWANKLINKER10911_BHKWHAUFFSTRA10912_HEIZKRAFTWERK5 generator to EU-DEU node...
INFO [2024-09-03 13:54:16] [THERMAL] - Adding DEU_GAS_HKWHILTROP11209_HKWSCHWERINS11231_NATURALGASKRAF1150 generator to EU-DEU node...
INFO [2024-09-03 13:54:16] [THERMAL] - Adding DEU_GAS_GUDSCHWARZHEID11175_HEIZKRAFTWERKE11283_HKWNIEDERRAD generator to EU-DEU node...
INFO [2024-09-03 13:54:16] [THERMAL] - Adding DEU_GAS_GUDHKWNEUBRAN11179_GUDBAUNATALV11170 generator to EU-DEU node...
INFO [2024-09-03 13:54:17] [THERMAL] - Adding DEU_GAS_HKW211193_HKWNORD11240_DORTMUND11046_KWKANLAGEKREF11 generator to EU-DEU node...
INFO [2024-09-03 13:54:17] [THERMAL] - Adding DEU_GAS_SDDT111723_HKWBARMEN11196_HKWPOTSDAMS11225_HOLTHAUSE generator to EU-DEU node...
INFO [2024-09-03 13:54:17] [THERMAL] - Adding DEU_GAS_KWKIRCHLENGERN11345_HKWNIEHL211221_LICHTERFELDE11438 generator to EU-DEU node...
INFO [2024-09-03 13:54:17] [THERMAL] - Adding DEU_GAS_HKWCHEMNITZN11199_HKWELTMANN11201_HKWWRTH11238_GUDAN generator to EU-DEU node...
INFO [2024-09-03 13:54:17] [THERMAL] - Adding DEU_GAS_RAGANTHRAZITI11596_EVCGLOBALFOU11064_KRAFTWERK211393 generator to EU-DEU node...
INFO [2024-09-03 13:54:18] [THERMAL] - Adding DEU_GAS_KESSEL211371_ERWEITERUNGENE11099 generator to EU-DEU node...
INFO [2024-09-03 13:54:18] [THERMAL] - Adding DEU_COA_KWM11360_SCHOLVENPOWER11669 generator to EU-DEU node...
INFO [2024-09-03 13:54:18] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERKS11279_HEIZKRAFTWERKD11281_PLWERKJLIC11 generator to EU-DEU node...
INFO [2024-09-03 13:54:18] [THERMAL] - Adding DEU_COA_KRAFTWERKWERDO11414_STUTTGARTMUENS11720_KIELPOWERSTA generator to EU-DEU node...
INFO [2024-09-03 13:54:18] [THERMAL] - Adding DEU_COA_TIEFSTACKPOWER11739_FLENSBURGPOWER11111_KRAFTWERKENS generator to EU-DEU node...
INFO [2024-09-03 13:54:19] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERKF11266_DESSAUPOWERST11037_GRUBENHEIZKRA generator to EU-DEU node...
INFO [2024-09-03 13:54:19] [THERMAL] - Adding DEU_COA_KWVOERDE11348_JANSCHWALDEPOW11338_GKMMANNHEIM11125_F generator to EU-DEU node...
INFO [2024-09-03 13:54:19] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERK311260_KWWEST11350_HAFENPOWERSTA11244_W generator to EU-DEU node...
INFO [2024-09-03 13:54:19] [THERMAL] - Adding DEU_COA_KESSEL411372_KRAFTWERK11391_HKWKARCHERSTR_11214_KOHL generator to EU-DEU node...
INFO [2024-09-03 13:54:20] [THERMAL] - Adding DEU_COA_BREMENFARGEPO10995_BUSCHHAUSPOWER11002_MODELLKRAFTWE generator to EU-DEU node...
INFO [2024-09-03 13:54:20] [THERMAL] - Adding DEU_COA_BUERPOWERSTAT11001_COTTBUSCHPPOW11019_COLOGNEMERKENI generator to EU-DEU node...
