INFO [2024-09-03 17:46:19] [MAIN] - Creating Deane_CHEDEUFRA-yesActivateTS__2024_09_03_17_46_19 study...

INFO [2024-09-03 17:46:19] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-03 17:46:20] [MAIN] - Adding nodes...

INFO [2024-09-03 17:46:23] [NODES] - Adding EU-CHE node...
INFO [2024-09-03 17:46:23] [NODES] - Adding EU-DEU node...
INFO [2024-09-03 17:46:24] [NODES] - Adding EU-FRA node...
INFO [2024-09-03 17:46:24] [MAIN] - Done adding nodes! (run time : 4.3s).

INFO [2024-09-03 17:46:24] [MAIN] - Adding districts...

INFO [2024-09-03 17:46:25] [DISTRICTS] - Creating global district...
INFO [2024-09-03 17:46:25] [DISTRICTS] - Done creating global district!
INFO [2024-09-03 17:46:25] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-03 17:46:25] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-03 17:46:26] [MAIN] - Done adding districts! (run time : 1.4s).

INFO [2024-09-03 17:46:26] [MAIN] - Adding load data...

INFO [2024-09-03 17:46:28] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-03 17:46:28] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-03 17:46:28] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-03 17:46:28] [MAIN] - Done adding load data! (run time : 2.23s).

INFO [2024-09-03 17:46:28] [MAIN] - Fetching wind data...

INFO [2024-09-03 17:46:28] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-03 17:46:28] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-03 17:46:28] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-03 17:46:28] [MAIN] - Done adding wind data! (run time : 0.42s).

INFO [2024-09-03 17:46:28] [MAIN] - Fetching solar data...

INFO [2024-09-03 17:46:29] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-03 17:46:29] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-03 17:46:29] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-03 17:46:29] [MAIN] - Done adding solar data! (run time : 0.41s).

INFO [2024-09-03 17:46:29] [MAIN] - Beginning hydro implementation...
INFO [2024-09-03 17:46:30] [HYDRO] - Initializing EU-CHE hydro parameters...
INFO [2024-09-03 17:46:31] [HYDRO] - Adding EU-CHE max power timeseries...
INFO [2024-09-03 17:46:32] [HYDRO] - Adding EU-CHE hydro profiles...
INFO [2024-09-03 17:46:33] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-09-03 17:46:34] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-09-03 17:46:35] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-09-03 17:46:36] [HYDRO] - Initializing EU-FRA hydro parameters...
INFO [2024-09-03 17:46:37] [HYDRO] - Adding EU-FRA max power timeseries...
INFO [2024-09-03 17:46:37] [HYDRO] - Adding EU-FRA hydro profiles...
INFO [2024-09-03 17:46:37] [MAIN] - Done adding hydro!
INFO [2024-09-03 17:46:37] [MAIN] - Fetching thermal data...
INFO [2024-09-03 17:46:41] [MAIN] - Aggregating identical generators...
INFO [2024-09-03 17:46:41] [MAIN] - Running 1-clustering algorithm on generators...
INFO [2024-09-03 17:46:42] [MAIN] - Done running 1-clustering algorithm on generators!

INFO [2024-09-03 17:46:42] [THERMAL] - Adding CHE_GAS_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:46:42] [THERMAL] - Adding CHE_COA_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:46:42] [THERMAL] - Adding CHE_BIO_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:46:42] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKB17760_KERNKRAFTWERKM17763_KERNKRAFTWER generator to EU-CHE node...
INFO [2024-09-03 17:46:43] [THERMAL] - Adding CHE_OIL_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:46:43] [THERMAL] - Adding DEU_GAS_KESSEL211371_ERWEITERUNGENE11099_BHKWANKLINKER10911_ generator to EU-DEU node...
INFO [2024-09-03 17:46:43] [THERMAL] - Adding DEU_COA_KESSEL411372_KRAFTWERK11391_HKWKARCHERSTR_11214_KOHL generator to EU-DEU node...
INFO [2024-09-03 17:46:43] [THERMAL] - Adding DEU_BIO_BLOCKHEIZKRAFTW10981_ZWSF11844_BIOMASSGENERAT10951_M generator to EU-DEU node...
INFO [2024-09-03 17:46:43] [THERMAL] - Adding DEU_NUC_GROHNDE11162_NECKARWESTHEIM11499_EMSLAND11062_PHILIP generator to EU-DEU node...
INFO [2024-09-03 17:46:43] [THERMAL] - Adding DEU_OIL_DKWLEINAU11024_DKWNORD11025_SKWDIESEL11650_SPITZENLA generator to EU-DEU node...
INFO [2024-09-03 17:46:43] [THERMAL] - Adding DEU_GEO_CAPACITYSCALER generator to EU-DEU node...
INFO [2024-09-03 17:46:44] [THERMAL] - Adding DEU_WAV_CAPACITYSCALER generator to EU-DEU node...
INFO [2024-09-03 17:46:44] [THERMAL] - Adding DEU_OTH_ILKEKT11319_BIOMASSGENERAT10952_HKWWEST11236_DKKRAFT generator to EU-DEU node...
INFO [2024-09-03 17:46:44] [THERMAL] - Adding FRA_GAS_GENNEVILLIERS19464_PONTSURSAMBRE10198_CROIXDEMETZ930 generator to EU-FRA node...
INFO [2024-09-03 17:46:44] [THERMAL] - Adding FRA_COA_LUCY39603_CAPACITYSCALER_EMILEHUCHET9364_CORDEMAIS49 generator to EU-FRA node...
INFO [2024-09-03 17:46:44] [THERMAL] - Adding FRA_BIO_ALLEMANT8850_AMANVILLERS8862_AUCH8917_BIMONT9017_BOR generator to EU-FRA node...
INFO [2024-09-03 17:46:44] [THERMAL] - Adding FRA_NUC_STLAURENT10330_CHINON9109_BLAYAIS8945_CRUAS9118_TRIC generator to EU-FRA node...
INFO [2024-09-03 17:46:45] [THERMAL] - Adding FRA_OIL_BRENNILIS8950_DIRINON9327_ARRIGHI8823_CORDEMAIS9115_ generator to EU-FRA node...
INFO [2024-09-03 17:46:45] [THERMAL] - Adding FRA_GEO_BOUILLANTE9046 generator to EU-FRA node...
INFO [2024-09-03 17:46:45] [THERMAL] - Adding FRA_WAV_RANCE10241_CAPACITYSCALER generator to EU-FRA node...
INFO [2024-09-03 17:46:47] [MAIN] - Done adding thermal data! (run time : 0.17min).

INFO [2024-09-03 17:46:47] [MAIN] - Fetching battery data...

INFO [2024-09-03 17:46:47] [MAIN] - Aggregating identical batteries...
INFO [2024-09-03 17:46:48] [STORAGE] - Adding CHE_CHE_SwissDualCircui104 battery to EU-CHE node...
INFO [2024-09-03 17:46:48] [STORAGE] - Adding CHE_CHE_50kW60kWhEnergy99_Passivhaus50kW1103 battery to EU-CHE node...
INFO [2024-09-03 17:46:48] [STORAGE] - Adding CHE_CHE_CKWESpeicherWer100 battery to EU-CHE node...
INFO [2024-09-03 17:46:48] [STORAGE] - Adding CHE_CHE_LausannePolytec102 battery to EU-CHE node...
INFO [2024-09-03 17:46:48] [STORAGE] - Adding CHE_CHE_EPFLLeclancheDi101 battery to EU-CHE node...
INFO [2024-09-03 17:46:48] [STORAGE] - Adding CHE_CHE_TheZurichDietik105 battery to EU-CHE node...
INFO [2024-09-03 17:46:49] [STORAGE] - Adding CHE_PHS_OvaSpinPumpedHy119 battery to EU-CHE node...
INFO [2024-09-03 17:46:49] [STORAGE] - Adding CHE_PHS_Handeck3PumpedH112 battery to EU-CHE node...
INFO [2024-09-03 17:46:49] [STORAGE] - Adding CHE_PHS_EtzelwerkPumped107 battery to EU-CHE node...
INFO [2024-09-03 17:46:49] [STORAGE] - Adding CHE_PHS_TierfehdNestilP121 battery to EU-CHE node...
INFO [2024-09-03 17:46:49] [STORAGE] - Adding CHE_PHS_RobieiPumpedHyd120 battery to EU-CHE node...
INFO [2024-09-03 17:46:50] [STORAGE] - Adding CHE_PHS_GougraPumpedHyd109 battery to EU-CHE node...
INFO [2024-09-03 17:46:50] [STORAGE] - Adding CHE_PHS_FerreraPumpedHy108 battery to EU-CHE node...
INFO [2024-09-03 17:46:50] [STORAGE] - Adding CHE_PHS_HongrinLemanPum113 battery to EU-CHE node...
INFO [2024-09-03 17:46:50] [STORAGE] - Adding CHE_PHS_VeytauxFMHLPump122 battery to EU-CHE node...
INFO [2024-09-03 17:46:51] [STORAGE] - Adding CHE_PHS_Grimsel2PumpedH110 battery to EU-CHE node...
INFO [2024-09-03 17:46:51] [STORAGE] - Adding CHE_PHS_EmossonPumpedHy106 battery to EU-CHE node...
INFO [2024-09-03 17:46:51] [STORAGE] - Adding CHE_PHS_MapraggPumpedHy117 battery to EU-CHE node...
