INFO [2024-09-03 17:50:40] [MAIN] - Creating Deane_CHEDEUFRA-yesActivateTS_15clu__2024_09_03_17_50_40 study...

INFO [2024-09-03 17:50:41] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-03 17:50:41] [MAIN] - Adding nodes...

INFO [2024-09-03 17:50:43] [NODES] - Adding EU-CHE node...
INFO [2024-09-03 17:50:44] [NODES] - Adding EU-DEU node...
INFO [2024-09-03 17:50:44] [NODES] - Adding EU-FRA node...
INFO [2024-09-03 17:50:44] [MAIN] - Done adding nodes! (run time : 3.38s).

INFO [2024-09-03 17:50:44] [MAIN] - Adding districts...

INFO [2024-09-03 17:50:45] [DISTRICTS] - Creating global district...
INFO [2024-09-03 17:50:45] [DISTRICTS] - Done creating global district!
INFO [2024-09-03 17:50:45] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-03 17:50:45] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-03 17:50:46] [MAIN] - Done adding districts! (run time : 1.53s).

INFO [2024-09-03 17:50:46] [MAIN] - Adding load data...

INFO [2024-09-03 17:50:47] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-03 17:50:48] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-03 17:50:48] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-03 17:50:48] [MAIN] - Done adding load data! (run time : 2.04s).

INFO [2024-09-03 17:50:48] [MAIN] - Fetching wind data...

INFO [2024-09-03 17:50:48] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-03 17:50:48] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-03 17:50:48] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-03 17:50:48] [MAIN] - Done adding wind data! (run time : 0.4s).

INFO [2024-09-03 17:50:48] [MAIN] - Fetching solar data...

INFO [2024-09-03 17:50:49] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-03 17:50:49] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-03 17:50:49] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-03 17:50:49] [MAIN] - Done adding solar data! (run time : 0.46s).

INFO [2024-09-03 17:50:49] [MAIN] - Beginning hydro implementation...
INFO [2024-09-03 17:50:51] [HYDRO] - Initializing EU-CHE hydro parameters...
INFO [2024-09-03 17:50:51] [HYDRO] - Adding EU-CHE max power timeseries...
INFO [2024-09-03 17:50:52] [HYDRO] - Adding EU-CHE hydro profiles...
INFO [2024-09-03 17:50:53] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-09-03 17:50:54] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-09-03 17:50:55] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-09-03 17:50:56] [HYDRO] - Initializing EU-FRA hydro parameters...
INFO [2024-09-03 17:50:57] [HYDRO] - Adding EU-FRA max power timeseries...
INFO [2024-09-03 17:50:58] [HYDRO] - Adding EU-FRA hydro profiles...
INFO [2024-09-03 17:50:58] [MAIN] - Done adding hydro!
INFO [2024-09-03 17:50:58] [MAIN] - Fetching thermal data...
INFO [2024-09-03 17:51:02] [MAIN] - Aggregating identical generators...
INFO [2024-09-03 17:51:02] [MAIN] - Running 15-clustering algorithm on generators...
INFO [2024-09-03 17:51:02] [MAIN] - Done running 15-clustering algorithm on generators!

INFO [2024-09-03 17:51:02] [THERMAL] - Adding CHE_GAS_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:51:03] [THERMAL] - Adding CHE_COA_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:51:03] [THERMAL] - Adding CHE_BIO_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:51:03] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKB17760 generator to EU-CHE node...
INFO [2024-09-03 17:51:03] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKM17763 generator to EU-CHE node...
INFO [2024-09-03 17:51:03] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKL17762 generator to EU-CHE node...
INFO [2024-09-03 17:51:03] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKG17761 generator to EU-CHE node...
INFO [2024-09-03 17:51:04] [THERMAL] - Adding CHE_OIL_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-03 17:51:04] [THERMAL] - Adding DEU_GAS_HEIZKRAFTWERKL11273_DOWSTADE11047_DAMPFKRAFTWERK1102 generator to EU-DEU node...
INFO [2024-09-03 17:51:04] [THERMAL] - Adding DEU_GAS_HEIZKRAFTWERK111258_HKW111191_HKWSCHWERINLA11230_NAT generator to EU-DEU node...
INFO [2024-09-03 17:51:04] [THERMAL] - Adding DEU_GAS_DORMAGEN11044_NATURALGASBLOC11508_THYROW11738_HUCKIN generator to EU-DEU node...
INFO [2024-09-03 17:51:04] [THERMAL] - Adding DEU_GAS_GUDHKWNEUBRAN11179_GUDBAUNATALV11170_SDDT111723_HKWB generator to EU-DEU node...
INFO [2024-09-03 17:51:04] [THERMAL] - Adding DEU_GAS_GEMEINSCHAFTSKR11138_RHEINHAFENDAMP11618_EMSLAND1108 generator to EU-DEU node...
INFO [2024-09-03 17:51:05] [THERMAL] - Adding DEU_GAS_HEIZKRAFTWERKG11267_AHRENSFELDE10881_HKWSANDREUTH112 generator to EU-DEU node...
INFO [2024-09-03 17:51:05] [THERMAL] - Adding DEU_GAS_HKWCHEMNITZN11199_HKWELTMANN11201_HKWWRTH11238_GUDAN generator to EU-DEU node...
INFO [2024-09-03 17:51:05] [THERMAL] - Adding DEU_GAS_HKWHILTROP11209_HKWSCHWERINS11231_NATURALGASKRAF1150 generator to EU-DEU node...
INFO [2024-09-03 17:51:05] [THERMAL] - Adding DEU_GAS_EGGERKRAFTWERK11073_HKWBOHRHGEL11197_KWKANLAGEKREF11 generator to EU-DEU node...
INFO [2024-09-03 17:51:05] [THERMAL] - Adding DEU_GAS_GUDSCHWARZHEID11175_HEIZKRAFTWERKE11283_HKWNIEDERRAD generator to EU-DEU node...
INFO [2024-09-03 17:51:05] [THERMAL] - Adding DEU_GAS_KESSEL211371_ERWEITERUNGENE11099_BHKWANKLINKER10911_ generator to EU-DEU node...
INFO [2024-09-03 17:51:06] [THERMAL] - Adding DEU_GAS_KRAFTWERKMITTE11405_HKWHALLETROTH11208_HKWDRESDENNOS generator to EU-DEU node...
