INFO [2024-09-04 09:48:08] [MAIN] - Creating v2_test__2024_09_04_09_48_08 study...

INFO [2024-09-04 09:48:08] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-04 09:48:08] [MAIN] - Adding nodes...

INFO [2024-09-04 09:48:09] [NODES] - Adding EU-CHE node...
INFO [2024-09-04 09:48:10] [NODES] - Adding EU-DEU node...
INFO [2024-09-04 09:48:10] [WARN] - Could not create node EU-DEU - skipping and continuing...
INFO [2024-09-04 09:48:10] [NODES] - Adding EU-FRA node...
INFO [2024-09-04 09:48:10] [MAIN] - Done adding nodes! (run time : 1.64s).

INFO [2024-09-04 09:48:10] [MAIN] - Adding districts...

INFO [2024-09-04 09:48:10] [DISTRICTS] - Creating global district...
INFO [2024-09-04 09:48:47] [MAIN] - Creating v2_test__2024_09_04_09_48_47 study...

INFO [2024-09-04 09:48:47] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-04 09:48:47] [MAIN] - Adding nodes...

INFO [2024-09-04 09:48:49] [NODES] - Adding EU-CHE node...
INFO [2024-09-04 09:48:49] [NODES] - Adding EU-DEU node...
INFO [2024-09-04 09:48:49] [NODES] - Adding EU-FRA node...
INFO [2024-09-04 09:48:49] [MAIN] - Done adding nodes! (run time : 1.66s).

INFO [2024-09-04 09:48:49] [MAIN] - Adding districts...

INFO [2024-09-04 09:48:50] [DISTRICTS] - Creating global district...
INFO [2024-09-04 09:48:50] [DISTRICTS] - Done creating global district!
INFO [2024-09-04 09:48:50] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-04 09:48:50] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-04 09:48:50] [MAIN] - Done adding districts! (run time : 0.78s).

INFO [2024-09-04 09:48:50] [MAIN] - Adding load data...

INFO [2024-09-04 09:48:51] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-04 09:48:51] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-04 09:48:51] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-04 09:48:51] [MAIN] - Done adding load data! (run time : 1.33s).

INFO [2024-09-04 09:48:52] [MAIN] - Fetching wind data...

INFO [2024-09-04 09:48:52] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-04 09:48:52] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-04 09:48:52] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-04 09:48:52] [MAIN] - Done adding wind data! (run time : 0.24s).

INFO [2024-09-04 09:48:52] [MAIN] - Fetching solar data...

INFO [2024-09-04 09:48:52] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-04 09:48:52] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-04 09:48:52] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-04 09:48:52] [MAIN] - Done adding solar data! (run time : 0.26s).

INFO [2024-09-04 09:48:52] [MAIN] - Beginning hydro implementation...
INFO [2024-09-04 09:48:53] [HYDRO] - Initializing EU-CHE hydro parameters...
INFO [2024-09-04 09:48:53] [HYDRO] - Adding EU-CHE max power timeseries...
INFO [2024-09-04 09:48:54] [HYDRO] - Adding EU-CHE hydro profiles...
INFO [2024-09-04 09:48:55] [HYDRO] - Initializing EU-DEU hydro parameters...
INFO [2024-09-04 09:48:55] [HYDRO] - Adding EU-DEU max power timeseries...
INFO [2024-09-04 09:48:55] [HYDRO] - Adding EU-DEU hydro profiles...
INFO [2024-09-04 09:48:56] [HYDRO] - Initializing EU-FRA hydro parameters...
INFO [2024-09-04 09:48:56] [HYDRO] - Adding EU-FRA max power timeseries...
INFO [2024-09-04 09:48:57] [HYDRO] - Adding EU-FRA hydro profiles...
INFO [2024-09-04 09:48:57] [MAIN] - Done adding hydro!
INFO [2024-09-04 09:48:57] [MAIN] - Fetching thermal data...
INFO [2024-09-04 09:48:59] [MAIN] - Aggregating identical generators...
INFO [2024-09-04 09:48:59] [MAIN] - Running 10-clustering algorithm on generators...
INFO [2024-09-04 09:48:59] [MAIN] - Done running 10-clustering algorithm on generators!

INFO [2024-09-04 09:48:59] [THERMAL] - Adding CHE_GAS_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-04 09:48:59] [THERMAL] - Adding CHE_COA_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-04 09:48:59] [THERMAL] - Adding CHE_BIO_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKB17760 generator to EU-CHE node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKM17763 generator to EU-CHE node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKL17762 generator to EU-CHE node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding CHE_NUC_KERNKRAFTWERKG17761 generator to EU-CHE node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding CHE_OIL_CAPACITYSCALER generator to EU-CHE node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding DEU_GAS_HKWDRESDENNOS11200_FRANKEN111114_HKWIIIB11212_TRIANE generator to EU-DEU node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding DEU_GAS_KWKIRCHLENGERN11345_HKWNIEHL211221_LICHTERFELDE11438 generator to EU-DEU node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding DEU_GAS_GERSTEINWERK11141_GEMEINSCHAFTSKR11138_RHEINHAFENDAM generator to EU-DEU node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding DEU_GAS_GUDSCHWARZHEID11175_HEIZKRAFTWERKE11283_HKWNIEDERRAD generator to EU-DEU node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding DEU_GAS_GTKWDARMSTADT11128_HEIZKRAFTWERKK11271_HEIZKRAFTWERK generator to EU-DEU node...
INFO [2024-09-04 09:49:00] [THERMAL] - Adding DEU_GAS_HEIZKRAFTWERKA11263_HKW3UPMSCHONG11242_BPWERKLINGEN1 generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_GAS_KIRCHMSER11375_HEIZKRAFTWERKL11273_DOWSTADE11047_DAM generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_GAS_HBB11188_INEOSKRAFTWERK11321_HKW211193_HKWNORD11240_ generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_GAS_KESSEL211371_ERWEITERUNGENE11099_BHKWANKLINKER10911_ generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_GAS_HKWFENNEGRUB11205_HKWHILTROP11209_HKWSCHWERINS11231_ generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_COA_WUPPERTALELBER11838_DEUBENPOWERST11040_BERLINMOABITP generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_COA_LNENPOWERST11449_BERGKAMENPOWER10936_KRAFTWERKBEXBA1 generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_COA_TIEFSTACKPOWER11739_FLENSBURGPOWER11111_KRAFTWERKENS generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_COA_BUERPOWERSTAT11001_COTTBUSCHPPOW11019_COLOGNEMERKENI generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERKF11266_DESSAUPOWERST11037_GRUBENHEIZKRA generator to EU-DEU node...
INFO [2024-09-04 09:49:01] [THERMAL] - Adding DEU_COA_KRAFTWERKN23011406_WACHTBERGPOWER11777_HASTEDTPOWERS generator to EU-DEU node...
INFO [2024-09-04 09:49:02] [THERMAL] - Adding DEU_COA_HEIZKRAFTWERK311260_KWWEST11350_HAFENPOWERSTA11244_W generator to EU-DEU node...
