INFO [2024-09-04 10:13:16] [MAIN] - Creating v2_test__2024_09_04_10_13_16 study...

INFO [2024-09-04 10:13:16] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-04 10:13:16] [MAIN] - Adding nodes...

INFO [2024-09-04 10:13:18] [NODES] - Adding EU-CHE node...
INFO [2024-09-04 10:13:18] [NODES] - Adding EU-DEU node...
INFO [2024-09-04 10:13:18] [NODES] - Adding EU-FRA node...
INFO [2024-09-04 10:13:18] [MAIN] - Done adding nodes! (run time : 2.26s).

INFO [2024-09-04 10:13:18] [MAIN] - Adding districts...

INFO [2024-09-04 10:13:19] [DISTRICTS] - Creating global district...
INFO [2024-09-04 10:13:19] [DISTRICTS] - Done creating global district!
INFO [2024-09-04 10:13:19] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-04 10:13:19] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-04 10:13:19] [MAIN] - Done adding districts! (run time : 0.95s).

INFO [2024-09-04 10:13:19] [MAIN] - Adding load data...

INFO [2024-09-04 10:13:20] [LOAD] - Adding EU-CHE load data...
INFO [2024-09-04 10:13:21] [LOAD] - Adding EU-DEU load data...
INFO [2024-09-04 10:13:21] [LOAD] - Adding EU-FRA load data...
INFO [2024-09-04 10:13:21] [MAIN] - Done adding load data! (run time : 1.53s).

INFO [2024-09-04 10:13:21] [MAIN] - Fetching wind data...

INFO [2024-09-04 10:13:21] [WIND] - Adding EU-CHE aggregated wind data...
INFO [2024-09-04 10:13:21] [WIND] - Adding EU-DEU aggregated wind data...
INFO [2024-09-04 10:13:21] [WIND] - Adding EU-FRA aggregated wind data...
INFO [2024-09-04 10:13:21] [MAIN] - Done adding wind data! (run time : 0.26s).

INFO [2024-09-04 10:13:21] [MAIN] - Fetching solar data...

INFO [2024-09-04 10:13:21] [SOLAR] - Adding EU-CHE aggregated solar data...
INFO [2024-09-04 10:13:21] [SOLAR] - Adding EU-DEU aggregated solar data...
INFO [2024-09-04 10:13:21] [SOLAR] - Adding EU-FRA aggregated solar data...
INFO [2024-09-04 10:13:21] [MAIN] - Done adding solar data! (run time : 0.32s).

INFO [2024-09-04 10:13:21] [MAIN] - Fetching battery data...

INFO [2024-09-04 10:13:22] [MAIN] - Aggregating identical batteries...
INFO [2024-09-04 10:13:22] [MAIN] - Running 10-clustering algorithm on batteries...
INFO [2024-09-04 10:13:27] [MAIN] - Done running 10-clustering algorithm on batteries!

INFO [2024-09-04 10:13:27] [STORAGE] - Adding CHE_CHE_SwissDualCircui104 battery to EU-CHE node...
INFO [2024-09-04 10:13:28] [STORAGE] - Adding CHE_CHE_LausannePolytec102 battery to EU-CHE node...
INFO [2024-09-04 10:13:28] [STORAGE] - Adding CHE_CHE_50kW60kWhEnergy99_Passivhaus50kW1103 battery to EU-CHE node...
INFO [2024-09-04 10:13:28] [STORAGE] - Adding CHE_CHE_CKWESpeicherWer100 battery to EU-CHE node...
INFO [2024-09-04 10:13:28] [STORAGE] - Adding CHE_CHE_EPFLLeclancheDi101 battery to EU-CHE node...
INFO [2024-09-04 10:13:28] [STORAGE] - Adding CHE_CHE_TheZurichDietik105 battery to EU-CHE node...
INFO [2024-09-04 10:13:28] [STORAGE] - Adding CHE_PHS_NantdeDrancePum118_LagoBiancoPumpe114_Linthal2015Lin battery to EU-CHE node...
INFO [2024-09-04 10:13:29] [STORAGE] - Adding CHE_PHS_OvaSpinPumpedHy119_GougraPumpedHyd109 battery to EU-CHE node...
INFO [2024-09-04 10:13:29] [STORAGE] - Adding CHE_PHS_FerreraPumpedHy108_LinthLimmernPum116 battery to EU-CHE node...
INFO [2024-09-04 10:13:29] [STORAGE] - Adding CHE_PHS_Handeck3PumpedH112_TierfehdNestilP121 battery to EU-CHE node...
INFO [2024-09-04 10:13:29] [STORAGE] - Adding CHE_PHS_Grimsel3PumpedH111 battery to EU-CHE node...
INFO [2024-09-04 10:13:29] [STORAGE] - Adding CHE_PHS_HongrinLemanPum113 battery to EU-CHE node...
INFO [2024-09-04 10:13:29] [STORAGE] - Adding CHE_PHS_RobieiPumpedHyd120_MapraggPumpedHy117 battery to EU-CHE node...
INFO [2024-09-04 10:13:30] [STORAGE] - Adding CHE_PHS_EmossonPumpedHy106 battery to EU-CHE node...
INFO [2024-09-04 10:13:30] [STORAGE] - Adding CHE_PHS_EtzelwerkPumped107_Grimsel2PumpedH110 battery to EU-CHE node...
INFO [2024-09-04 10:13:30] [STORAGE] - Adding CHE_PHS_VeytauxFMHLPump122 battery to EU-CHE node...
INFO [2024-09-04 10:13:30] [STORAGE] - Adding DEU_CHE_EEBattEnergyNei244_250kW1MWhElCheW231_BatteryEnergyS battery to EU-DEU node...
