INFO [2024-09-09 18:02:08] [MAIN] - Creating clusters_ren__2024_09_09_18_02_08 study...

INFO [2024-09-09 18:02:08] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-09 18:02:08] [MAIN] - Adding nodes...

INFO [2024-09-09 18:02:09] [NODES] - Adding eu-fra node...
INFO [2024-09-09 18:02:09] [MAIN] - Done adding nodes! (run time : 0.99s).

INFO [2024-09-09 18:02:09] [MAIN] - Adding districts...

INFO [2024-09-09 18:02:09] [DISTRICTS] - Creating global district...
INFO [2024-09-09 18:02:09] [DISTRICTS] - Done creating global district!
INFO [2024-09-09 18:02:09] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-09 18:02:09] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-09 18:02:10] [MAIN] - Done adding districts! (run time : 0.57s).

INFO [2024-09-09 18:02:10] [MAIN] - Adding load data...

INFO [2024-09-09 18:02:10] [LOAD] - Adding eu-fra load data...
INFO [2024-09-09 18:02:10] [MAIN] - Done adding load data! (run time : 0.67s).

INFO [2024-09-09 18:02:10] [MAIN] - Beginning hydro implementation...
INFO [2024-09-09 18:02:11] [HYDRO] - Initializing eu-fra hydro parameters...
INFO [2024-09-09 18:02:12] [HYDRO] - Adding eu-fra max power timeseries...
INFO [2024-09-09 18:02:12] [HYDRO] - Adding eu-fra hydro profiles...
INFO [2024-09-09 18:02:12] [MAIN] - Done adding hydro!
INFO [2024-09-09 18:02:12] [MAIN] - Fetching thermal data...
INFO [2024-09-09 18:02:14] [MAIN] - Aggregating identical generators...
INFO [2024-09-09 18:02:15] [MAIN] - Running 20-clustering algorithm on generators...
INFO [2024-09-09 18:02:21] [MAIN] - Done running 20-clustering algorithm on generators!

INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_gas_namibe59 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_gas_lobito54 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_gas_cazenga52 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_gas_capacityscaler generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_oil_malongo57 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_oil_xitoto61 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_oil_huambo53 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_oil_luandarefinery56 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_oil_biopio48 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_oil_luandadiesel55 generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ago_oil_capacityscaler generator to af-ago node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ben_gas_akpakpa994 generator to af-ben node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ben_gas_capacityscaler generator to af-ben node, skipping...
INFO [2024-09-09 18:02:21] [WARN] - Failed to add ben_oil_cotonou995 generator to af-ben node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add bfa_oil_bobo3411 generator to af-bfa node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add bfa_oil_ouaga3414 generator to af-bfa node, skipping...
INFO [2024-09-09 18:02:22] [WARN] - Failed to add bfa_oil_kossodo3413 generator to af-bfa node, skipping...
