INFO [2024-09-09 18:03:45] [MAIN] - Creating clusters_ren__2024_09_09_18_03_45 study...

INFO [2024-09-09 18:03:45] [MAIN] - Unit commitment mode : ACCURATE
INFO [2024-09-09 18:03:45] [MAIN] - Adding nodes...

INFO [2024-09-09 18:03:47] [NODES] - Adding eu-fra node...
INFO [2024-09-09 18:03:47] [MAIN] - Done adding nodes! (run time : 1.34s).

INFO [2024-09-09 18:03:47] [MAIN] - Adding districts...

INFO [2024-09-09 18:03:47] [DISTRICTS] - Creating global district...
INFO [2024-09-09 18:03:47] [DISTRICTS] - Done creating global district!
INFO [2024-09-09 18:03:47] [DISTRICTS] - Creating europe continental district...
INFO [2024-09-09 18:03:47] [DISTRICTS] - Done creating europe continental district!
INFO [2024-09-09 18:03:48] [MAIN] - Done adding districts! (run time : 0.73s).

INFO [2024-09-09 18:03:48] [MAIN] - Adding load data...

INFO [2024-09-09 18:03:48] [LOAD] - Adding eu-fra load data...
INFO [2024-09-09 18:03:48] [MAIN] - Done adding load data! (run time : 0.9s).

INFO [2024-09-09 18:03:48] [MAIN] - Beginning hydro implementation...
INFO [2024-09-09 18:03:50] [HYDRO] - Initializing eu-fra hydro parameters...
INFO [2024-09-09 18:03:50] [HYDRO] - Adding eu-fra max power timeseries...
INFO [2024-09-09 18:03:50] [HYDRO] - Adding eu-fra hydro profiles...
INFO [2024-09-09 18:03:50] [MAIN] - Done adding hydro!
INFO [2024-09-09 18:03:51] [MAIN] - Fetching thermal data...
INFO [2024-09-09 18:03:52] [MAIN] - Aggregating identical generators...
INFO [2024-09-09 18:03:53] [MAIN] - Running 20-clustering algorithm on generators...
INFO [2024-09-09 18:03:53] [MAIN] - Done running 20-clustering algorithm on generators!

INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_gennevilliers19464 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_pontsursambre10198 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_croixdemetz9304 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_combigolfe9114 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_blenod58946 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_emilehuchet9363 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_bouchain78948 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_martiguesponte9866 generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_capacityscaler generator to eu-fra node...
INFO [2024-09-09 18:03:53] [THERMAL] - Adding fra_gas_dk69328 generator to eu-fra node...
INFO [2024-09-09 18:03:54] [THERMAL] - Adding fra_coa_lucy39603 generator to eu-fra node...
INFO [2024-09-09 18:03:54] [THERMAL] - Adding fra_coa_capacityscaler generator to eu-fra node...
INFO [2024-09-09 18:03:54] [THERMAL] - Adding fra_coa_emilehuchet9364 generator to eu-fra node...
INFO [2024-09-09 18:03:54] [THERMAL] - Adding fra_coa_cordemais49116_havre49538 generator to eu-fra node...
